Inquiry item,Required information,Example or notes
Buyer company,Company name and contact person,Distributor or food processing plant
Destination country,Country and city,Russia / Indonesia / Thailand / Vietnam
Machine information,Brand model and OEM part number,Attach nameplate photo if available
Blade type,Circular serrated straight dicing band saw or custom,Circle the closest type
Food application,Meat seafood vegetable bakery packaging frozen food,Product being cut
Outer diameter or length,Dimension in mm,For circular blades give OD
Inner hole,Dimension in mm,For discs give bore size and keyway
Thickness,Dimension in mm,Measure blade body thickness
Slots and bolt pattern,Hole count diameter PCD and slot shape,Attach drawing or photo
Edge type,Single bevel double bevel serration pitch tooth form,Include bevel direction
Material request,420 440C HSS D2 9CrSi carbide or unknown,Factory can recommend if unknown
Hardness target,HRC value or current blade hardness,Optional if unknown
Surface finish,Polished coated anti-rust or standard,Food contact and cleaning needs
Quantity,Trial order and repeat monthly usage,Include spare parts stock plan
Packing request,Carton wooden case edge guard anti-rust bag private label,Export packing notes
Delivery deadline,Target delivery date and incoterm,EXW FOB CIF DAP or other
Attachments,Drawing worn blade photo sample photo,Send with inquiry email or WhatsApp
